Andrew Miller,STL,RP,3.34,67,16,3,1.18,60,6785
Andrew Chafin,ARI,RP,3.52,56,2,2,1.32,55,12988
Dillon Maples,CHC,RP,3.26,14,0,0,1.43,10,14672
Clayton Kershaw,LAD,SP,3.1,142,0,11,1.06,144,2036
Alex Claudio,MIL,RP,3.28,30,0,2,1.19,45,12890
Jonathan Holder,NYY,RP,3.49,51,0,3,1.14,50,16588
Drew Steckenrider,MIA,RP,3.23,77,26,2,1.25,65,18806
Mark Melancon,SF,RP,3.55,51,4,3,1.24,65,4264
Darren O'Day,ATL,RP,3.39,65,2,3,1.11,55,3321
Ken Giles,TOR,RP,3.84,71,31,3,1.24,65,12910
Archie Bradley,ARI,RP,3.55,73,15,3,1.28,70,12918
Kirby Yates,SDP,RP,3.65,88,32,3,1.21,65,9073
Walker Buehler,LAD,SP,3.2,177,0,12,1.14,161,19374
Paul Fry,BAL,RP,3.61,73,3,2,1.39,65,15832
Zach Britton,NYY,RP,3.22,52,3,3,1.29,60,3240
Sam Dyson,SF,RP,3.66,47,1,2,1.3,60,11710
Edubray Ramos,PHI,RP,3.58,20,0,1,1.2,20,16086
Wade Davis,COL,RP,3.86,75,30,3,1.31,65,7441
Carl Edwards Jr.,CHC,RP,3.19,75,1,3,1.33,60,13607
Charlie Morton,TB,SP,3.37,177,0,10,1.2,151,4676
Ryan Madson,FA,RP,3.51,49,0,3,1.18,50,1852
Dylan Floro,LAD,"SP,RP",3.89,38,1,3,1.31,50,13394
Silvino Bracho,ARI,RP,3.67,61,1,2,1.18,50,15051
Justin Wilson,NYM,RP,3.33,47,0,2,1.21,40,4301
Tim Mayza,TOR,RP,3.88,60,1,2,1.39,50,15042
Stephen Strasburg,WAS,SP,3.53,201,0,12,1.16,173,10131
Chris Paddack,SDP,SP,3.59,93,0,6,1.15,93,sa875195
Steven Okert,SF,RP,3.96,11,0,0,1.31,10,13580
Patrick Corbin,WAS,SP,3.63,200,0,12,1.21,180,9323
Mychal Givens,BAL,RP,3.67,68,30,2,1.23,65,10430
Giovanny Gallegos,STL,RP,3.76,23,0,1,1.19,20,14986
Ross Stripling,LAD,"SP,RP",3.59,95,0,6,1.17,95,13273
Craig Stammen,SDP,RP,3.87,75,4,3,1.27,75,7274
Caleb Ferguson,LAD,"SP,RP",3.42,83,0,5,1.26,78,19349
Chaz Roe,TB,RP,3.77,58,2,2,1.28,50,9866
Nathan Eovaldi,BOS,SP,3.67,149,0,11,1.2,156,9132
Arodys Vizcaino,ATL,RP,3.74,66,21,3,1.27,65,5498
JT Chargois,LAD,RP,3.54,30,0,2,1.29,30,13767
Austen Williams,WAS,RP,3.97,21,0,1,1.34,20,16309
